#Species,Strain,Family,Source,Accession,PMID,Notes
Acidomyces richmondensis,,Capnodiales,JGI,,,
Acremonium alcalophilum,,Plectosphaerellaceae,JGI,,,
Agaricostilbum hyphaenes,ATCC MYA-4628,Agaricostilbaceae,JGI,,,Note=altstrain=CBS 175.79
Agaricus bisporus var. bisporus,H97,Agaricaceae,JGI,NW_006267344-NW_006267372,23045686,RefSeq
Ajellomyces capsulatus,NAm1,Ajellomycetaceae,GB,NW_001813703-NW_001813982,19717792,
Allomyces macrogynus,ATCC 38327,Blastocladiaceae,Broad,,,RefSeq
Alternaria arborescens,EGS 39-128,Pleosporaceae,GB,AIIC00000000,22559316,WGS
Amanita muscaria,Koide,Amanitaceae,JGI,,,
Amanita thiersii,Skay4041,Amanitaceae,JGI,,,
Amorphotheca resinae,,Myxotrichaceae,JGI,,,
Anthonospora locustae,,Microsporidia,,,,
Anthostoma avocetta,,Diatrypaceae,JGI,,,
Apiospora montagnei,NRRL 25634,Apiosporaceae,JGI,,,
Aplosporella prunicola,CBS 121.167,Aplosporellaceae,JGI,,,
Archaerhizomyces finlayi,,Archaeorhizomycetaceae,AFTOL,,,
Armillaria mellea,DSM 3731,Physalacriaceae,JGI,,,
Arthrobotrys oligospora,ATCC 24927,Orbiliaceae,GB,JH119000-JH119214,21909256,WGS
Arthroderma benhamiae,CBS 112371,Arthrodermataceae,GB,NW_003315046-NW_003315113,21247460,RefSeq
Ascobolus immersus,RN42,Ascobolaceae,JGI,,,
Ascocoryne sarcoides,NRRL 50072,Helotiaceae,JGI,KB205939-KB205951,22396667,WGS
Ascosphaera apis,ARSEF 7405,Ascosphaeraceae,GB-WGS,AARE00000000,17069642,WGS;note=CheckGW site for annotation
Ashbya gossypii,,Saccharomycetaceae,GB,NC_016756;NC_005785;NC_005788;NC_005787;NC_005786;NC_005784;NC_005783;NC_005782;NC_005789,15001715,RefSeq
Aspergillus fumigatus,Af293,Aspergillaceae,AspGD,NC_007194-NC_007201,16372009,RefSeq
Aspergillus niger,ATCC 1015,Aspergillaceae,JGI,,,
Atractiellales sp.,PMI 95,Atractiellaceae,JGI,,,
Aulographum hederae,CBS 113979,Aulographaceae,JGI,,,
Aureobasidium pullulans var. pullulans,EXF-150,Dothioraceae,JGI,,24984952,Note=no annotation in genbank
Auricularia subglabra,TFB10046 SSÐ5Ê,Auriculariaceae,JGI,,,
Auriscalpium vulgare,FP105234-Sp,Auriscalpiaceae,JGI,,,
Backusella circina,FSU 941,Thamnidiaceae,JGI,,,
Batrachochytrium dendrobatidis,JAM81,Chytridiomycota,JGI,NW_006281099-NW_006281225,,RefSeq
Baudoinia compniacensis,UAMH 10762,Teratosphaeriaceae,JGI,NW_006911257-NW_006911275,23236275,RefSeq;alt_strain=4089826
Beauveria bassiana,ARSEF 2860,Cordycipitaceae,JGI,,,RefSeq
Bjerkandera adusta,HHB-12826-SP SB-22,Meruliaceae,JGI,,,
Blastobotrys adeninivorans,LS3,Trichomonascaceae,GB-WGS,CBZY000000000,,
Blumeria graminis f.sp. hordei,DH14,Erysiphaceae,JGI,HF938118-HF944960,21148392,RefSeq
Boletus edulis,,Boletaceae,JGI,,,
Botryobasidium botryosum,FD-172 SS1,Botryobasidiaceae,JGI,KL198016-KL198349,24958869,WGS
Botryosphaeria dothidea,,Botryosphaeriaceae,JGI,,,
Botrytis cinerea,,Sclerotiniaceae,GB,NW_001813983-NW_001814571,,RefSeq
Cadophora sp.,DSE1049,Helotiaceae,JGI,,,
Caliciopsis orientalis,,Coryneliaceae,manual,,,
Calocera cornea,,Dacrymycetaceae,JGI,,,
Calosphaeria pulchella,,Calosphaeriaceae,manual,,,
Candida albicans,SC5314,Saccharomycetales,GB,NC_002653;NW_139421-NW_139833,15123810,RefSeq
Capronia coronata,CBS 617.96,Herpotrichiellaceae,GB,NW_006912893-NW_006912903,,RefSeq
Catenaria anguillulae,PL171,Catenariaceae,JGI,,,
Cenococcum geophilum,1.58,Gloniaceae,JGI,,,
Ceratocystis fimbriata,CBS 114723,Ceratocystidaceae,GB-WGS,APWK00000000,,WGS;Note=no annotation
Chaetomium globosum,CBS 148.51,Chaetomiaceae,GB,NT_165976-NT_165989;NT_166001-NT_166004;NT_166006-NT_166024,,RefSeq
Chaetosphaeria innumera,,Chaetosphaeriaceae,manual,,,
Chalara chalara fraxinea,KW1,Helotiales,manual,,,
Chalara longipes,BDJ,Helotiales,JGI,,,
Choiromyces venosus,120613-1,Tuberaceae,JGI,,,
Cladonia grayi,Cgr/DA2myc/ss,Cladoniaceae,JGI,,,
Cladonia portentosa,,Cladoniaceae,manual,,,
Cladosporium fulvum,CBS 131901,Mycosphaerellaceae,JGI,JH931634-JH932271,,WGS
Cladosporium sphaerospermum,UM 843,Davidiellaceae,GB,KL650041-KL650157,22544899,WGS
Claviceps purpurea,20.1,Clavicipitaceae,GB,CAGA01000001-CAGA01000191,23468653,WGS
Clavicorona pyxidata,HHB10654,Auriscalpiaceae,JGI,,,
Clavispora lusitaniae,ATCC 42720,Metschnikowiaowiaceae,GB,NW_003101571-NW_003101579,,RefSeq
Clavulina sp.,PMI 390,Clavulinaceae ,JGI,,,
Coccidioides immitis,RS,Onygenaceae,GB,NW_001509356-NW_001509365,,RefSeq
Cochliobolus heterostrophus,C5,Pleosporaceae,GB,KB445569-KB445636,23236275,WGS
Coemansia reversa,NRRL 1564,Kickxellaceae,JGI,,,
Colletotrichum florinae,,Glomerellaceae,JGI,,,need permission/access
Colletotrichum graminicola,M1.001,Glomerellaceae,GB,GG697331-GG697984;CM001021,,WGS
Conidiobolus coronatus,NRRL 28638,Ancylistaceae,JGI,,,
Conidiobolus thromboides,FSU 785,Ancylistaceae,JGI,,,
Coniochaeta ligniaria,,Coniochaetaceae,manual,,,
Coniophora puteana,,Coniophoraceae,GB,NW_006913053-NW_006913262,22745431,RefSeq
Coprinellus micaceus,,Psathyrellaceae,JGI,,,not yet available on JGI
Coprinopsis cinerea,okayama7#130,Psathyrellaceae,GB,NW_003307477-NW_003307544,20547848,RefSeq
Cordyceps militaris,CM01,Cordycipitaceae,GB,NW_006271969-NW_006272000,,RefSeq
Cortinarius glaucopus,AT 2004 276,Cortinariaceae,JGI,,,
Cryphonectria parasitica,EP155,Cryphonectriaceae,JGI,,,
Cryptococcus neoformans var. neoformans,JEC21,Tremellaceae,GB,NC_006670;NC_006679-NC_006687;NC_006691-NC_006694,15653466,RefSeq
Cucurbitaria berberidis,CBS 394.84,Cucurbitariaceae,JGI,,,
Cyberlindnera jadinii,NRRL Y-1542,Phaffomycetaceae,JGI,,,RefSeq
Cylindrobasidium torrendii,,Physalacriaceae,JGI,,,
Cyphellophora europaea,CBS 101466,Cyphellophoraceae,GB,KB822711-KB822725;KI635846-KI635849,,WGS
Dacryopinax sp.,DJM-731 SS1,Dacrymycetaceae,GB,JH795855-JH795953,22745431,WGS
Daldinia eschscholzii,EC12,Xylariaceae,JGI,,,
Debaryomyces hansenii,CBS 767,Debaryomycetaceae,GB,NC_006043-NC_006049;NC_010166,15229592,RefSeq
Dekkera bruxellensis,CBS 2499,Saccharomycetaceae,JGI,KB454452-KB454483,22663979,RefSeq
Dendrothele bispora,CBS 962.96,Corticiaceae,JGI,,,
Dichomitus squalens,LYAD-421 SS1,Polyporaceae,GB,NW_006766883-NW_006767424,22745431,RefSeq
Didymella exigua,CBS 183.55,Didymellaceae,JGI,,,
Dothistroma septosporum,NZE10,Mycosphaerellaceae,GB,KB446535-KB446554,23236275,WGS
Epichloe festucae,Fl1,Clavicipitaceae,GB-WGS,AFRX00000000,,WGS;Note=no annotation
Erysiphe pisi,,Erysiphaceae,GB-WGS,CACM00000000,,WGS;Note=no annotation
Eutypa lata,UCREL1,Diatrypaceae,GB,NW_006913660-NW_006915993,23723393,RefSeq
Exidia glandulosa,,Exidiaceae,JGI,,,
Exobasidium vaccinii,MPITM,Exobasidiaceae,JGI,,,
Exophiala dermatitidis,NIH/UT8656,Herpotrichiellaceae,GB,JH226130-JH226139;CM001238,24496724,WGS
Fellomyces polyborus,,Cuniculitremaceae,Dikaryome,,,May not be available
Fibroporia radiculosa,,Polyporaceae,GB,HE796866-HE797726,22247176,WGS
Fibulorhizoctonia sp.,CBS 109695,Atheliaceae,JGI,,,
Fistulina hepatica,,Fistulinaceae,JGI,,,
Flagelloscypha sp.,PMI 526,Niaceae,JGI,,,
Fomitiporia mediterranea,MF3/22,Hymenochaetaceae,GB,NW_006760386-NW_006761797,22745431,RefSeq
Fomitopsis pinicola,FP-58527 SS1,Fomitopsidaceae,GB,KE504122-KE504625,22745431,WGS
Fusarium fujikuroi,B14,Nectriaceae,GB,KB205952-KB206026,23472226,WGS
Fusarium fujikuroi,IMI58289,Nectriaceae,GB,HF679023-HF679034,23825955,WGS
Fusarium graminearum,PH-1,Nectriaceae,GB,NC_009493;NT_086521-NT_086522;NT_086532;NT_086543;NT_086552;NT_086557-NT_086561,17823352,RefSeq
Gaeumannomyces graminis var. tritici,R3-111a-1,Magnaporthaceae,GB,GL385395-GL385911,,WGS
Galactomyces geotrichum,,Dipodascaceae,CRG,,,
Galerina marginata,CBS 339.88,Strophariaceae,GB,KL142367-KL142780,24958869,WGS
Ganoderma sp.,10597 SS1,Ganodermataceae,JGI,,,
Glarea lozoyensis,74030,Helotiaceae,GB,NW_007360983-NW_007361004,22302591,RefSeq
Gloeophyllum trabeum,ATCC 11539,Gloeophyllaceae,GB,NW_006920410-NW_006920851,22745431,RefSeq
Glomerella cingulata,23,Glomerellaceae,JGI,,,Colletotrichum gloeosporoides
Glonium stellatum,,Gloniaceae,manual,,,
Gonapodya prolifera,,Gonapodyaceae,JGI,,,
Grosmannia clavigera,kw1407,Ophiostomataceae,GB,GL629720-GL630008;GG742440-GG743882,21262841,WGS
Guignardia citricarpa,CGMCC3.14348,Phyllostictaceae,GB-WGS,AOTE00000000,,WGS
Gymnascella aurantiaca,NRRL 5967,Gymnascaceae,JGI,,,
Gymnascella citrina,,Gymnascaceae,JGI,,,
Gymnopus luxurians,,Omphalotaceae,JGI,,,
Hebeloma cylindrosporum,h7,Cortinariaceae,JGI,,,
Heterobasidion irregulare,TC 32-1,Bondarzewiaceae,GB-WGS,KI925454-KI925468,22463738,
Heterogastridium pycnidioideum,ATCC MYA-4631,Heterogastridiaceae,JGI,,,
Holtermanniella mycelialis,,Holtermanniales,Dikaryome,,,
Holtermanniella takashimae,,Holtermanniales,Dikaryome,,,
Homoloaphlyctis polyrhiza,JEL 142,Rhizophydiales,GB,JH392917-JH393256,22072962,WGS
Hortaea werneckii,EXF-2000,Teratosphaeriaceae,GB,KE148682-KE150016,23977017,WGS
Hydnomerulius pinastri,,Paxillaceae,JGI,,,
Hypholoma sublateritium,,Strophariaceae,JGI,,,
Hypoxylon sp.,CI-4A,Xylariaceae,JGI,,,
Hysterium pulicare,,Hysteriaceae,GB,AJFK01000001-AJFK01001091,23236275,WGS
Jaapia argillacea,MUCL 33604,Jaapiaceae,GB,KL197709-KL198003,24958869,WGS
Karstenula rhodostoma,CBS 690.94,Montagnulaceae,JGI,,,
Kazachstania africana,CBS 2517,Saccharomycetaceae,GB,NC_018951;NC_018950;NC_018949;NC_018948;NC_018947;NC_018946;NC_018945;NC_018944;NC_018943;NC_018942;NC_018941;NC_018940,,RefSeq
Kluyveromyces lactis,NRRL Y-1140,Saccharomycetaceae,GB,NC_006037-NC_006042,15229592,RefSeq
Komagataella pastoris,GS115,Saccharomycetaceae,GB,NC_012963-NC_012966,21575661,RefSeq
Laccaria amethystina,LaAM-08-1,Hydnangiaceae,JGI,,,
Laccaria bicolor,S238N-H82,Hydnangiaceae,GB,NW_001889872-NW_001890536,18322534,RefSeq
Lentithecium fluviatile,,Lentitheciaceae,JGI,,,
Lepidopterella palustris,,Argynnaceae,JGI,,,
Leptosphaeria maculans,JN3,Leptosphaeriaceae,GB,NW_003533803-NW_003533878,21326234,
Leucogyrophana mollusca,KUC20120723A-06,Hygrophoropsidaceae,JGI,,,
Lichtheimia corymbifera,FSU 9682,Lichtheimiaceae,GB,CBTN010000001-CBTN010000209,25121733,WGS
Lichtheimia hyalospora,,Lichtheimiaceae,JGI,,,
Lichtheimia ramosa,B5399,Lichtheimiaceae,GB-WGS,JNDO00000000,,
Lodderomyces elongisporus,NRRL YB-4239,Debaryomycetaceae,GB,NW_001813675-NW_001813702,19465905,RefSeq
Lophiostoma macrostomum,,Lophiostomataceae,JGI,,,
Macrolepiota fuliginosa,,Agaricaceae,JGI,,,
Macrophomina phaseolina,MS6,Botryosphaeriaceae,GB,AHHD00000000,,WGS
Magnaporthe oryzae,70-15,Magnaporthaceae,GB,NC_017844;NC_017849-NC_017854;NW_003803315-NW_003803360;NC_017854;NC_017853;NC_017852;NC_017851;NC_017850;NC_017849;NC_017844,15846337,RefSeq
Malassezia globosa,,Malasseziaceae,GB,NW_001849832-NW_001849898,18000048,RefSeq
Marssonina brunnea f. sp. multigermtubi,MB_m1,Dermateaceae,GB,NW_006763039-NW_006763127,22876864,RefSeq
Martensiomyces pterosporus,CBS 209.56,Kickxellaceae,JGI,,,
Meira geulakonigae,,Mikronegeriaceae,Dikaryome,,,
Melampsora laricis-populina,,Melampsoraceae,GB,NW_006768765-NW_006769226,21536894,RefSeq
Melanconium sp.,NRRL 54901,Melanconidaceae,JGI,,,
Melanomma pulvis-pyrius,,Melanommataceae,JGI,,,
Meliniomyces bicolor,E,Helotiaceae,JGI,,,
Meliniomyces variabilis,F,Leotiomycetes,JGI,,,
Metarhizium anisopliae,ARSEF 23,Clavicipitaceae,GB,NW_006916915-NW_006917090,21253567,RefSeq
Metschnikowia fructicola,277,Metschnikowiaceae,GB,ANFW01000001-ANFW01008430,23496978,Note=NoAnnot;WGS
Meyerozyma guilliermondii,ATCC 6260,Debaryomycetaceae,GB,NW_001809792-NW_001809800,19465905,RefSeq
Microbotryum violaceum,p1A1 Lamole,Microbotryaceae,GB,GL541643-GL542873,,WGS
Millerozyma farinosa,CBS 7064,Debaryomycetaceae,GB,NC_020213-NC_020226,22384408,RefSeq
Mixia osmundae,IAM 14324,Mixiaceae,GB,KL411542-KL411697,24372469,WGS;Note=another group seq same strain
Monascus purpureus,,Monascaceae,JGI,,,
Monascus ruber,NRRL 1597,Monascaceae,JGI,,,
Moniliophthora perniciosa,FA553,Marasmiaceae,JGI,NW_002479998-NW_002505053,,RefSeq
Mortierella alpina,ATCC 32222,Mortierellaceae,GB,ADAG00000000,22174787,WGS
