#Species,Strain,Family,Source,Accession,PMID,Notes
Acremonium alcalophilum,,Plectosphaerellaceae,JGI,,,
Agaricostilbum haphaenes,CBS 175.79,Agaricostilbaceae,JGI,,,
Agaricostilbum hyphaenes,ATCC MYA-4628,Agaricostilbaceae,JGI,,,Note=altstrain=CBS 175.79
Alternaria brassicicola,ATCC 96836,Pleosporaceae,JGI,ACIW00000000,,WGS;Note=paper nearing submission
Antrodia sinuosa,LB1,Polyporaceae,JGI,,,
Apophysomyces elegans,B7760,Mucoraceae,GB-WGS,JNDQ00000000,,
Apophysomyces trapeziformis,B9324,Mucoraceae,GB-WGS,JNDP00000000,,
Arthroderma gypseum,CBS 118893,Arthrodermataceae,GB,NW_003345183-NW_003345201,22951933,RefSeq
Ascoidea rubescens,NRRL Y17699,Ascoideaceae,JGI,,,
Aspergillus niger,CBS 513.88,Aspergillaceae,GB,NC_007445;NT_166518-NT_166539,17259976,RefSeq
Basidiobolus meristosporus,B9252,Basidiobolaceae,GB-WGS,JNEO00000000,,
Cercospora zeae-maydis,,Mycosphaerellaceae,JGI,,,
Ceriporiopsis subvermispora,B,Meruliaceae,GB,KB445791-KB446530,22434909,WGS
Cerrena unicolor,303,Polyporaceae,JGI,,,
Chalara chalara fraxinea,KW1,Helotiales,manual,,,
Cladophialophora yegresii,CBS 114405,Herpotrichiellaceae,GB,NW_006913045-NW_006913052,,RefSeq
Cladosporium fulvum,CBS 131901,Mycosphaerellaceae,JGI,JH931634-JH932271,,WGS
Cokeromyces recurvatus,B5483,Mucoraceae,GB-WGS,JNEH00000000,,
Conidiobolus incongruus,B7586,Ancylistaceae,GB-WGS,JNEM00000000,,
Conidiobolus thromboides,FSU 785,Ancylistaceae,JGI,,,
Coniosporium apollinis,CBS 100218,Herpotrichiellaceae,GB,JH767554-JH767722,,WGS
Cronartium quercuum f. sp. fusiforme,G11,Cronartiaceae,JGI,,,
Cunninghamella bertholletiae,175,Cunninghamellaceae,GB-WGS,JNEG00000000,,
Cunninghamella elegans,B9769,Cunninghamellaceae,GB-WGS,JNDR00000000,,
Cyberlindnera jadinii,NBRC 0988,Phaffomycetaceae,GB,DG000065-DG000077,22629373,RefSeq
Daldinia eschscholzii,UM1020,Xylariaceae,GB,AIID01000001-AIID01011382,22544898,Note=no annotation;WGS
Dioszegia cryoxerica,,Tremellaceae,JGI,,,
