Astr	Acarospora_strigata_CBS_132363_2
Aciri1_iso	Acidomyces_richmondensis_BFW
Aciri1_meta	Acidomyces_richmondensis_BFW
Acral2	Acremonium_alcalophilum
Agahy1	Agaricostilbum_hyphaenes_ATCC_MYA-4628
Agabi_varbisH97_2	Agaricus_bisporus_var_bisporus_H97
Acap	Ajellomyces_capsulatus_NAm1
Amac	Allomyces_macrogynus_ATCC_38327
Amamu1	Amanita_muscaria_Koide
Amath1	Amanita_thiersii_Skay4041
Amnli1	Amniculicola_lignicola_CBS_123094
Amore1	Amorphotheca_resinae_ATCC_22711
Antav1	Anthostoma_avocetta_NRRL_3190
Antlo1	Antonospora_locustae_HM-2013
Apimo1	Apiospora_montagnei_NRRL_25634
Apru	Aplosporella_prunicola_CBS_121
Elmca1	Aporpium_caryae_L-13461
Afin	Archaeorhizomyces_finlayi_CBS_128710
Armme1_1	Armillaria_mellea_DSM_3731
Arub	Arthonia_rubrocincta_GBP0182_1
Artol1	Arthrobotrys_oligospora_ATCC_24927
Aben	Arthroderma_benhamiae_CBS_112371
Ascim1	Ascobolus_immersus_RN42
Ascsa1	Ascocoryne_sarcoides_NRRL_50072
Anig	Ascodesmis_nigricans_CBS_389
Aapi	Ascosphaera_apis_ARSEF_7405
Agos	Ashbya_gossypii_FDAG1
Afum	Aspergillus_fumigatus_Af293
Aspni7	Aspergillus_niger_ATCC_1015
Atrsp2	Atractiellales_sp_PMI_95
Aulhe2	Aulographum_hederae_CBS_113979
Aurpu_var_pul1	Aureobasidium_pullulans_var_pullulans_EXF-150
Aurde3_1	Auricularia_subglabra_TFB10046_SS-5
Aurvu1	Auriscalpium_vulgare_FP105234-Sp
Bacci1	Backusella_circina_FSU_941
Batde5	Batrachochytrium_dendrobatidis_JAM81
Bauco1	Baudoinia_compniacensis_UAMH_10762
Beaba1	Beauveria_bassiana_ARSEF_2860
Bnov	Bimuria_novae-zelandiae_CBS_107
Bjead1_1	Bjerkandera_adusta_HHB-12826-SP_SB-22
Arxad1	Blastobotrys_adeninivorans_LS3
Blugr1	Blumeria_graminis_f_sp_hordei_DH14
Boled1	Boletus_edulis_BED1
Botbo1	Botryobasidium_botryosum_FD-172_SS1
Botdo1_1	Botryosphaeria_dothidea_CBS_115476
Bcin	Botrytis_cinerea_B05
Cadsp1	Cadophora_sp_DSE1049
Cori	Caliciopsis_orientalis_CBS_138_64
Calco1	Calocera_cornea_HHB12733
Cpul	Calosphaeria_pulchella
Calb	Candida_albicans_SC5314
Ccor	Capronia_coronata_CBS_617
Catan1	Catenaria_anguillulae_PL171
Cgeo	Cenococcum_geophilum_1
Cepal1_1	Cephaloascus_albidus_ATCC_66658
Cglo	Chaetomium_globosum_CBS_148
Cinn	Chaetosphaeria_innumera
Chalo1	Chalara_longipes_BDJ
Chiap1	Chionosphaera_apobasidialis_52639
Chove1	Choiromyces_venosus_120613-1
Clagr3	Cladonia_grayi_Cgr-DA2myc-ss
Cpor	Cladonia_portentosa
Clafu1	Cladosporium_fulvum_CBS_131901
Csph	Cladosporium_sphaerospermum_UM_843
Cely	Clathrospora_elynae_CBS_161
Cpur	Claviceps_purpurea_20
Clapy1	Clavicorona_pyxidata_HHB10654
Clus	Clavispora_lusitaniae_ATCC_42720
ClaPMI390	Clavulina_sp_PMI_390
Cloro1	Clonostachys_rosea_CBS_125111
Cimm	Coccidioides_immitis_RS
Chet	Cochliobolus_heterostrophus_C5
Coere1	Coemansia_reversa_NRRL_1564
Cgra	Colletotrichum_graminicola_M1
Chig	Colletotrichum_higginsianum_IMI_49063
Conco1	Conidiobolus_coronatus_NRRL_28638
Clig	Coniochaeta_ligniaria_CBS_111746
Conpu1	Coniophora_puteana_RWD-64-598_SS2
Ccin	Coprinopsis_cinerea_okayama7_130
Cormi1	Cordyceps_militaris_CM01
Corma1	Corollospora_maritima_CBS_119819
Corgl3	Cortinarius_glaucopus_AT_2004_276
Corca1	Corynespora_cassiicola_CCP
Crypa2	Cryphonectria_parasitica_EP155
Cneo	Cryptococcus_neoformans_var_neoformans_JEC21
Cber	Cucurbitaria_berberidis_CBS_394
Cybja1	Cyberlindnera_jadinii_NRRL_Y-1542
Cylto1	Cylindrobasidium_torrendii_FP15055_ss-10
Ceur	Cyphellophora_europaea_CBS_101466
Dsp	Dacryopinax_sp_DJM-731_SS1
DalEC12_1	Daldinia_eschscholzii_EC12
Dhan	Debaryomyces_hansenii_CBS_767
Dekbr2	Dekkera_bruxellensis_CBS_2499
Delco1	Delitschia_confertaspora_ATCC_74209
Dbis	Dendrothele_bispora_CBS_962
Dbae	Dibaeis_baeomyces_1
Dsqu	Dichomitus_squalens_LYAD-421_SS1
Dexi	Didymella_exigua_CBS_183
Daci	Dissoconium_aciculare_CBS_342
Dotsy1	Dothidotthia_symphoricarpi_CBS_119687
Dsep	Dothistroma_septosporum_NZE10
Enccu1	Encephalitozoon_cuniculi_GB-M1
Enche1	Encephalitozoon_hellem_ATCC_50504
Encin1	Encephalitozoon_intestinalis_ATCC_50506
Encro1	Encephalitozoon_romaleae_SJ-2008
Epal	Endocarpon_pallidulum_Enpa_1
Entbi1	Enterocytozoon_bieneusi_H348
vM3	Epichloe_festucae_E894
Ebil	Eremomyces_bilateralis_CBS_781
Elat	Eutypa_lata_UCREL1
Exigl1	Exidia_glandulosa_HHB12029
Exova1	Exobasidium_vaccinii_MPITM
Eder	Exophiala_dermatitidis_NIH_UT8656
Frad	Fibroporia_radiculosa_TFFH_294
Fibsp1	Fibulorhizoctonia_sp_CBS_109695
Fishe1	Fistulina_hepatica_ATCC_64428
Fomme1	Fomitiporia_mediterranea_MF3-22
Fpin	Fomitopsis_pinicola_FP-58527_SS1
Ffuj	Fusarium_fujikuroi_IMI58289
Fgra	Fusarium_graminearum_PH-1
Gmar	Galerina_marginata_CBS_339
Gansp1	Ganoderma_sp_10597_SS1
Gloz	Glarea_lozoyensis_74030
Glotr1_1	Gloeophyllum_trabeum_ATCC_11539
Gloci1	Glomerella_cingulata_23
Gste	Glonium_stellatum
Ganpr1	Gonapodya_prolifera_JEL478
Gscr	Graphis_scripta_1
Gcla	Grosmannia_clavigera_kw1407
Gymau1	Gymnascella_aurantiaca
Gymci1_1	Gymnascella_citrina_NRRL_5970
Gymlu1	Gymnopus_luxurians
Hebcy2	Hebeloma_cylindrosporum_h7
Hesve1	Hesseltinella_vesiculosa_NRRL_3301
Hetan2	Heterobasidion_annosum_TC_32-1
Hetpy1	Heterogastridium_pycnidioideum_ATCC_MYA-4631
Hpol	Homoloaphlyctis_polyrhiza_JEL142
Hwer	Hortaea_werneckii_M0
Hydpi2	Hydnomerulius_pinastri
Hfra	Hymenoscyphus_fraxineus_KW1
Hypsu1	Hypholoma_sublateritium
Hyspu1_1	Hysterium_pulicare_CBS_123377
Ilysp1	Ilyonectria_sp_PMI-82
Jaaar1	Jaapia_argillacea_MUCL_33604
Krho	Karstenula_rhodostoma_CBS_690
Kafr	Kazachstania_africana_CBS_2517
Klac	Kluyveromyces_lactis_NRRL_Y-1140
Kpas	Komagataella_pastoris_GS115
Lacam1	Laccaria_amethystina_LaAM-08-1
Lacbi2	Laccaria_bicolor_S238N-H82
Lenti6_1	Lentinus_tigrinus_ALCF2SS1-6
Lenfl1	Lentithecium_fluviatile_CBS_122367
Leppa1	Lepidopterella_palustris
Lmac	Leptosphaeria_maculans_JN3
Leumo1	Leucogyrophana_mollusca_KUC20120723A-06
Lcor	Lichtheimia_corymbifera_FSU_9682
Lichy1	Lichtheimia_hyalospora_FSU_10163
Lelo	Lodderomyces_elongisporus_NRRL_YB-4239
